project_id,scope_id,engineer_code,date,hours
2,617-s1,BLy,2025-07-24,4
2,617-s1,BLy,2025-07-28,1
2,617-s1,BLy,2025-07-29,1
2,617-s1,BLy,2025-07-31,1
2,617-s1,BLy,2025-08-01,1
2,617-s1,BLy,2025-08-04,2
2,617-s1,BLy,2025-08-06,2
2,617-s1,BLy,2025-08-08,1
2,617-s1,BLy,2025-08-13,3
2,617-s1,BLy,2025-08-14,1
2,617-s2,BLy,2025-10-03,2
2,617-s2,BLy,2025-10-27,1
2,617-s2,BLy,2025-10-28,1
2,617-s2,BLy,2025-10-31,1
2,617-s4,BLy,2026-03-05,1
2,617-s4,BLy,2026-04-10,1
2,617-s4,BLy,2026-05-08,1
2,617-s1,AFe,2025-07-21,3
2,617-s1,AFe,2025-07-22,1
2,617-s1,AFe,2025-07-24,3
2,617-s1,AFe,2025-07-25,2
2,617-s1,AFe,2025-07-28,3
2,617-s1,AFe,2025-07-30,2
2,617-s1,AFe,2025-07-31,2.5
2,617-s1,AFe,2025-08-01,1
2,617-s1,AFe,2025-08-13,1.5
2,617-s1,AFe,2025-08-20,4
2,617-s1,AFe,2025-08-26,2
2,617-s1,AFe,2025-08-27,1
2,617-s1,AFe,2025-08-28,1.5
2,617-s1,AFe,2025-09-01,2
2,617-s1,AFe,2025-09-02,2
2,617-s1,AFe,2025-09-04,2
2,617-s1,AFe,2025-09-05,2
2,617-s1,AFe,2025-09-08,0.5
2,617-s1,AFe,2025-09-09,3
2,617-s1,AFe,2025-09-10,3
2,617-s1,AFe,2025-09-11,1
2,617-s1,AFe,2025-09-12,1.5
2,617-s1,AFe,2025-09-15,1
2,617-s1,AFe,2025-09-16,3
2,617-s2,AFe,2025-09-17,3
2,617-s2,AFe,2025-09-18,2
2,617-s2,AFe,2025-09-19,1
2,617-s2,AFe,2025-09-22,1.5
2,617-s2,AFe,2025-09-23,2
2,617-s2,AFe,2025-09-26,2
2,617-s2,AFe,2025-09-29,0.5
2,617-s2,AFe,2025-09-30,2
2,617-s2,AFe,2025-10-03,1
2,617-s2,AFe,2025-10-06,0.5
2,617-s2,AFe,2025-10-07,3
2,617-s2,AFe,2025-10-09,2.5
2,617-s2,AFe,2025-10-13,2
2,617-s2,AFe,2025-10-16,1
2,617-s2,AFe,2025-10-20,0.5
2,617-s2,AFe,2025-10-21,1
2,617-s2,AFe,2025-10-22,0.5
2,617-s2,AFe,2025-10-23,3
2,617-s4,AFe,2025-11-06,1
2,617-s4,AFe,2025-11-10,1
2,617-s4,AFe,2025-11-11,1.5
2,617-s4,AFe,2025-11-13,1.5
2,617-s4,AFe,2025-11-14,1
2,617-s4,AFe,2025-11-18,1
2,617-s4,AFe,2025-11-20,1
2,617-s4,AFe,2025-11-25,1
2,617-s4,AFe,2025-11-27,1
2,617-s4,AFe,2025-12-11,0.5
2,617-s4,AFe,2025-12-12,1
2,617-s4,AFe,2025-12-18,1
2,617-s4,AFe,2025-12-19,1
2,617-s4,AFe,2025-12-22,0.5
2,617-s4,AFe,2026-01-08,0.5
2,617-s4,AFe,2026-01-19,0.5
2,617-s4,AFe,2026-01-21,0.5
2,617-s4,AFe,2026-01-22,2
2,617-s4,AFe,2026-01-28,0.5
2,617-s4,AFe,2026-02-05,0.5
2,617-s4,AFe,2026-02-06,0.5
2,617-s4,AFe,2026-02-11,0.5
2,617-s4,AFe,2026-02-12,1
2,617-s4,AFe,2026-03-05,1
2,617-s4,AFe,2026-03-12,1
2,617-s4,AFe,2026-03-19,1
2,617-s4,AFe,2026-03-26,1
2,617-s4,AFe,2026-04-02,1
2,617-s4,AFe,2026-04-09,1
2,617-s4,AFe,2026-04-10,1
2,617-s4,AFe,2026-04-16,1
2,617-s4,AFe,2026-04-23,1
2,617-s4,AFe,2026-04-30,1
2,617-s4,AFe,2026-05-08,1
2,617-s2,JWr,2025-07-28,8
2,617-s2,JWr,2025-07-29,8
2,617-s2,JWr,2025-07-30,8
2,617-s2,JWr,2025-07-31,8
2,617-s2,JWr,2025-08-01,8
2,617-s2,JWr,2025-08-04,8
2,617-s2,JWr,2025-08-05,8
2,617-s2,JWr,2025-08-06,8
2,617-s2,JWr,2025-08-07,8
2,617-s2,JWr,2025-08-08,8
2,617-s2,JWr,2025-08-18,8
2,617-s2,JWr,2025-08-19,8
2,617-s2,JWr,2025-08-20,8
2,617-s2,JWr,2025-08-21,8
2,617-s2,JWr,2025-08-26,8
2,617-s2,JWr,2025-08-27,8
2,617-s2,JWr,2025-08-28,8
2,617-s2,JWr,2025-08-29,8
2,617-s2,JWr,2025-09-01,8
2,617-s2,JWr,2025-09-02,8
2,617-s2,JWr,2025-09-03,8
2,617-s2,JWr,2025-09-04,8
2,617-s2,JWr,2025-09-05,8
2,617-s2,JWr,2025-09-08,8
2,617-s2,JWr,2025-09-09,8
2,617-s2,JWr,2025-09-12,8
2,617-s2,JWr,2025-09-15,8
2,617-s2,JWr,2025-09-16,8
2,617-s2,JWr,2025-09-17,8
2,617-s2,JWr,2025-09-18,8
2,617-s2,JWr,2025-09-19,8
2,617-s2,JWr,2025-09-22,8
2,617-s2,JWr,2025-09-23,8
2,617-s2,JWr,2025-09-24,8
2,617-s2,JWr,2025-09-25,8
2,617-s2,JWr,2025-09-26,8
2,617-s2,JWr,2025-09-29,8
2,617-s2,JWr,2025-09-30,8
2,617-s2,JWr,2025-10-01,8
2,617-s2,JWr,2025-10-02,8
2,617-s2,JWr,2025-10-03,8
2,617-s2,JWr,2025-10-06,8
2,617-s2,JWr,2025-10-07,8
2,617-s2,JWr,2025-10-08,8
2,617-s2,JWr,2025-10-09,8
2,617-s2,JWr,2025-10-13,8
2,617-s2,JWr,2025-10-14,8
2,617-s2,JWr,2025-10-15,8
2,617-s2,JWr,2025-10-16,8
